Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kWh),Electric Propulsion (kWh) Questionable,Electric Battery (kWh),Electric Battery (kWh) Questionable,Diesel (miles),Diesel Questionable,Gasoline (miles),Gasoline Questionable,Liquefied Petroleum Gas (miles),Liquefied Petroleum Gas Questionable,Compressed Natural Gas (miles),Compressed Natural Gas Questionable,Other Fuel (miles),Other Fuel Questionable,Electric Propulsion (miles),Electric Propulsion Questionable,Electric Battery (miles),Electric Battery Questionable,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kWh),Electric Propulsion (mi/kWh) Questionable,Electric Battery (mi/kWh),Electric Battery (mi/kWh) Questionable
"City of Nashua, dba: Nashua Transit System",Nashua,NH,10087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,61165,"Nashua, NH--MA","242,984",14,MB,PT,8.00,0.00,,360.00,,0.00,,90611.00,,16827.00,,0.00,,0.00,,0.00,,113677.00,,0.00,,0.00,,369427.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,,,,,
"City of Norwalk , dba: Norwalk Transit System",Norwalk,CA,90022,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",31,MB,DO,24.00,0.00,,41947.00,,0.00,,277485.00,,0.00,,0.00,,0.00,,64418.00,,0.00,,135076.00,,0.00,,843627.00,,0.00,,0.00,,29880.00,,,,3.22,,,,,,,,,,0.46,
"City of Norwalk , dba: Norwalk Transit System",Norwalk,CA,90022,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",31,DR,PT,7.00,0.00,,9391.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,43675.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,4.65,,,,,,,,,,,
"City of Pasadena, dba: Pasadena Transit",Pasadena,CA,99424,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",33,DR,PT,9.00,0.00,,31512.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,165476.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,5.25,,,,,,,,,,,
"City of Pasadena, dba: Pasadena Transit",Pasadena,CA,99424,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",33,MB,PT,24.00,0.00,,0.00,,0.00,,258854.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,880599.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"City of Peoria , dba: Peoria Transit",Peoria,AZ,90140,"City, County or Local Government Unit or Department of Transportation",Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",6,DR,DO,6.00,0.00,,18261.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,120898.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.62,,,,,,,,,,,
"City of Petaluma, dba: Petaluma Transit",Petaluma,CA,90213,"City, County or Local Government Unit or Department of Transportation",Full Reporter,68887,"Petaluma, CA","65,227",13,MB,PT,9.00,50834.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,239655.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.71,,,,,,,,,,,,,
"City of Petaluma, dba: Petaluma Transit",Petaluma,CA,90213,"City, County or Local Government Unit or Department of Transportation",Full Reporter,68887,"Petaluma, CA","65,227",13,DR,PT,4.00,0.00,,6487.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,40413.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.23,,,,,,,,,,,
"City of Phoenix Public Transit Department , dba: Valley Metro",Phoenix,AZ,90032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",507,DR,PT,119.00,0.00,,579603.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3414298.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,5.89,,,,,,,,,,,
"City of Phoenix Public Transit Department , dba: Valley Metro",Phoenix,AZ,90032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",507,MB,PT,388.00,1744393.00,,98678.00,,0.00,,4547847.00,,0.00,,0.00,,0.00,,0.00,,6336962.00,,490082.00,,0.00,,16267492.00,,0.00,,0.00,,0.00,,3.63,,4.97,,,,,,,,,,,
City of Plymouth,Minneapolis,MN,50516,"City, County or Local Government Unit or Department of Transportation",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",17,MB,PT,12.00,109099.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,577821.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.30,,,,,,,,,,,,,
City of Plymouth,Minneapolis,MN,50516,"City, County or Local Government Unit or Department of Transportation",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",17,DR,PT,5.00,3299.00,,31287.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,37397.00,,223265.00,,0.00,,0.00,,0.00,,0.00,,0.00,,11.34,,7.14,,,,,,,,,,,
City of Portland,Portland,OR,58,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71317,"Portland, OR--WA","2,104,238",14,SR,PT,12.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,2461533.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,384657.00,,0.00,,,,,,,,,,,,0.16,,,
City of Portland,Portland,OR,58,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71317,"Portland, OR--WA","2,104,238",14,TR,PT,2.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,371000.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,29504.00,,0.00,,,,,,,,,,,,0.08,,,
"City of Pueblo, dba: Pueblo Transit",Pueblo,CO,80007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,72613,"Pueblo, CO","120,642",27,DR,PT,13.00,0.00,,33903.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,265230.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.82,,,,,,,,,,,
"City of Pueblo, dba: Pueblo Transit",Pueblo,CO,80007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,72613,"Pueblo, CO","120,642",27,MB,DO,14.00,128767.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,496874.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3.86,,,,,,,,,,,,,
"City of Racine, Wisconsin, dba: RYDE",Racine,WI,50006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,73153,"Racine, WI","134,877",37,MB,DO,29.00,220865.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,41999.00,,932071.00,,0.00,,0.00,,0.00,,0.00,,0.00,,53997.00,,4.22,,,,,,,,,,,,1.29,
"City of Racine, Wisconsin, dba: RYDE",Racine,WI,50006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,73153,"Racine, WI","134,877",37,CB,PT,3.00,43804.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,
"City of Racine, Wisconsin, dba: RYDE",Racine,WI,50006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,73153,"Racine, WI","134,877",37,DR,DO,5.00,0.00,,18031.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,114787.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.37,,,,,,,,,,,
"City of Raleigh, dba: GoRaleigh",Raleigh,NC,40007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,73261,"Raleigh, NC","1,106,646",262,DR,TX,178.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"City of Raleigh, dba: GoRaleigh",Raleigh,NC,40007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,73261,"Raleigh, NC","1,106,646",262,MB,PT,84.00,0.00,,0.00,,0.00,,739144.00,,600481.00,,0.00,,0.00,,79863.00,,2296933.00,,0.00,,0.00,,2260560.00,,0.00,,0.00,,23938.00,,,,,,,,,,,,,,0.30,
"City of Redondo Beach, dba: Beach Cities Transit",Redondo Beach,CA,90214,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",18,DR,PT,4.00,0.00,,0.00,,0.00,,20364.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,53817.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"City of Redondo Beach, dba: Beach Cities Transit",Redondo Beach,CA,90214,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",18,MB,PT,14.00,0.00,,0.00,,0.00,,124684.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,486842.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
City of Riverside,Riverside,CA,90086,"City, County or Local Government Unit or Department of Transportation",Full Reporter,75340,"Riverside--San Bernardino, CA","2,276,703",15,DR,DO,15.00,0.00,,454.00,,0.00,,56018.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4004.00,,0.00,,372257.00,,0.00,,0.00,,0.00,,,,8.82,,,,,,,,,,,
"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,50092,"City, County or Local Government Unit or Department of Transportation",Full Reporter,75637,"Rochester, MN","121,587",60,DR,PT,9.00,0.00,,20938.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,148334.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.08,,,,,,,,,,,
"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,50092,"City, County or Local Government Unit or Department of Transportation",Full Reporter,75637,"Rochester, MN","121,587",60,DR,TX,7.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,50092,"City, County or Local Government Unit or Department of Transportation",Full Reporter,75637,"Rochester, MN","121,587",60,MB,PT,44.00,0.00,,948.00,,0.00,,0.00,,313685.00,,0.00,,0.00,,3563.00,,924218.00,,771685.00,,0.00,,0.00,,0.00,,0.00,,19568.00,,,,814.01,,,,,,,,,,5.49,
"City of Rome , dba: City of Rome Transit Department",Rome,GA,40058,"City, County or Local Government Unit or Department of Transportation",Full Reporter,76204,"Rome, GA","60,403",12,MB,DO,6.00,20194.00,,32297.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,94187.00,,189127.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.66,,5.86,,,,,,,,,,,
"City of Rome , dba: City of Rome Transit Department",Rome,GA,40058,"City, County or Local Government Unit or Department of Transportation",Full Reporter,76204,"Rome, GA","60,403",12,DR,DO,6.00,122.00,,18055.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,37722.00,,104377.00,,0.00,,0.00,,0.00,,0.00,,0.00,,309.20,,5.78,,,,,,,,,,,
City of San Luis Obispo,San Luis Obispo,CA,90156,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79147,"San Luis Obispo, CA","56,904",15,MB,PT,15.00,80590.00,,940.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,347552.00,,150.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.31,,0.16,,,,,,,,,,,
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79309,"Santa Clarita, CA","278,031",88,CB,PT,22.00,0.00,,0.00,,0.00,,132708.00,,68044.00,,0.00,,0.00,,0.00,,284770.00,,0.00,,0.00,,530152.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79309,"Santa Clarita, CA","278,031",88,DR,PT,22.00,0.00,,24101.00,,0.00,,79952.00,,0.00,,0.00,,0.00,,0.00,,0.00,,160566.00,,0.00,,636118.00,,0.00,,0.00,,0.00,,,,6.66,,,,,,,,,,,
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79309,"Santa Clarita, CA","278,031",88,MB,PT,44.00,56.00,,0.00,,0.00,,476787.00,,0.00,,0.00,,0.00,,0.00,,69.00,,0.00,,0.00,,1833533.00,,0.00,,0.00,,0.00,,1.23,,,,,,,,,,,,,
"City of Santa Fe, dba: Santa Fe Trails",,NM,60077,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79363,"Santa Fe, NM","94,241",29,DR,DO,11.00,0.00,,9451.00,,0.00,,55469.00,,0.00,,0.00,,0.00,,0.00,,0.00,,95671.00,,0.00,,114586.00,,0.00,,0.00,,0.00,,,,10.12,,,,,,,,,,,
"City of Santa Fe, dba: Santa Fe Trails",,NM,60077,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79363,"Santa Fe, NM","94,241",29,MB,DO,18.00,3080.00,,0.00,,0.00,,129427.00,,0.00,,0.00,,0.00,,0.00,,8969.00,,0.00,,0.00,,635246.00,,0.00,,0.00,,0.00,,2.91,,,,,,,,,,,,,
"City of Santa Maria, dba: Santa Maria Area Transit",Santa Maria,CA,90087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79417,"Santa Maria, CA","143,609",25,DR,PT,5.00,0.00,,21351.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,105154.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,4.92,,,,,,,,,,,
"City of Santa Maria, dba: Santa Maria Area Transit",Santa Maria,CA,90087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79417,"Santa Maria, CA","143,609",25,MB,PT,20.00,163154.00,,15681.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,735668.00,,64592.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.51,,4.12,,,,,,,,,,,
"City of Santa Monica, dba: Big Blue Bus",Santa Monica,CA,90008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",143,MB,DO,124.00,0.00,,0.00,,0.00,,1505069.00,,0.00,,0.00,,0.00,,258194.00,,0.00,,0.00,,0.00,,4506844.00,,0.00,,0.00,,125725.00,,,,,,,,,,,,,,0.49,
"City of Santa Monica, dba: Big Blue Bus",Santa Monica,CA,90008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",143,DR,PT,2.00,0.00,,0.00,,0.00,,1455.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,9496.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"City of Santa Monica, dba: Big Blue Bus",Santa Monica,CA,90008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",143,DR,TN,17.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
City of Santa Rosa,Santa Rosa,CA,90017,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79498,"Santa Rosa, CA","297,329",31,DR,PT,10.00,0.00,,28184.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,171916.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.10,,,,,,,,,,,
City of Santa Rosa,Santa Rosa,CA,90017,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79498,"Santa Rosa, CA","297,329",31,MB,DO,20.00,0.00,,0.00,,0.00,,0.00,,177702.00,,0.00,,0.00,,0.00,,808091.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
City of Santa Rosa,Santa Rosa,CA,90017,"City, County or Local Government Unit or Department of Transportation",Full Reporter,79498,"Santa Rosa, CA","297,329",31,MB,PT,1.00,0.00,,2980.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,18929.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.35,,,,,,,,,,,
"City of Scottsdale , dba: Scottsdale Trolley",Scottsdale,AZ,90131,"City, County or Local Government Unit or Department of Transportation",Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",12,MB,PT,12.00,63893.00,,0.00,,0.00,,63977.00,,0.00,,0.00,,0.00,,0.00,,324527.00,,0.00,,0.00,,274082.00,,0.00,,0.00,,0.00,,5.08,,,,,,,,,,,,,
"City of Seattle, dba: Seattle Center Monorail",Seattle,WA,23,"City, County or Local Government Unit or Department of Transportation",Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",8,MG,PT,8.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,491162.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,236642.00,,0.00,,,,,,,,,,,,0.48,,,
"City of Shreveport, dba: Shreveport Area Transit System",Shreveport,LA,60024,"City, County or Local Government Unit or Department of Transportation",Full Reporter,81739,"Shreveport, LA","288,052",53,DR,DO,18.00,0.00,,80241.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,917124.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,11.43,,,,,,,,,,,
"City of Shreveport, dba: Shreveport Area Transit System",Shreveport,LA,60024,"City, County or Local Government Unit or Department of Transportation",Full Reporter,81739,"Shreveport, LA","288,052",53,MB,DO,35.00,0.00,,143701.00,,0.00,,274529.00,,0.00,,0.00,,0.00,,222103.00,,0.00,,844181.00,,0.00,,1367609.00,,0.00,,0.00,,32665.00,,,,5.87,,,,,,,,,,0.15,
"City of Sioux City, dba: Sioux City Transit System",Sioux City,IA,70012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,82225,"Sioux City, IA--NE--SD","113,066",25,DR,PT,8.00,0.00,,27629.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,179638.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.50,,,,,,,,,,,
"City of Sioux City, dba: Sioux City Transit System",Sioux City,IA,70012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,82225,"Sioux City, IA--NE--SD","113,066",25,MB,DO,17.00,118857.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,611560.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.15,,,,,,,,,,,,,
"City of Springfield, dba: City Utilities of Springfield, MO",Springfield,MO,70003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,83953,"Springfield, MO","282,651",22,DR,DO,4.00,0.00,,20793.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,150679.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.25,,,,,,,,,,,
"City of Springfield, dba: City Utilities of Springfield, MO",Springfield,MO,70003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,83953,"Springfield, MO","282,651",22,MB,DO,18.00,210145.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,65840.00,,995207.00,,0.00,,0.00,,0.00,,0.00,,0.00,,30107.00,,4.74,,,,,,,,,,,,0.46,
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,40036,"City, County or Local Government Unit or Department of Transportation",Full Reporter,86464,"Tallahassee, FL","252,934",123,MB,PT,2.00,9044.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,40036,"City, County or Local Government Unit or Department of Transportation",Full Reporter,86464,"Tallahassee, FL","252,934",123,DR,DO,23.00,0.00,,14152.00,,0.00,,45808.00,,0.00,,0.00,,0.00,,0.00,,0.00,,115786.00,,0.00,,303260.00,,0.00,,0.00,,0.00,,,,8.18,,,,,,,,,,,
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,40036,"City, County or Local Government Unit or Department of Transportation",Full Reporter,86464,"Tallahassee, FL","252,934",123,DR,PT,26.00,0.00,,77762.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,101779.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,1.31,,,,,,,,,,,
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,40036,"City, County or Local Government Unit or Department of Transportation",Full Reporter,86464,"Tallahassee, FL","252,934",123,DR,TX,17.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,40036,"City, County or Local Government Unit or Department of Transportation",Full Reporter,86464,"Tallahassee, FL","252,934",123,MB,DO,55.00,348119.00,,0.00,,0.00,,108923.00,,0.00,,0.00,,0.00,,698851.00,,1174084.00,,0.00,,0.00,,456024.00,,0.00,,0.00,,360572.00,,3.37,,,,,,,,,,,,0.52,
"City of Terre Haute , dba: Terre Haute Transit Utility",Terre Haute,IN,50053,"City, County or Local Government Unit or Department of Transportation",Full Reporter,87139,"Terre Haute, IN","79,862",10,DR,DO,2.00,0.00,,8857.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,55548.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.27,,,,,,,,,,,
"City of Terre Haute , dba: Terre Haute Transit Utility",Terre Haute,IN,50053,"City, County or Local Government Unit or Department of Transportation",Full Reporter,87139,"Terre Haute, IN","79,862",10,MB,DO,8.00,12568.00,,45846.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,103833.00,,228218.00,,0.00,,0.00,,0.00,,0.00,,0.00,,8.26,,4.98,,,,,,,,,,,
"City of Torrance, dba: Torrance Transit System",Torrance,CA,90010,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",74,DR,TX,36.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"City of Torrance, dba: Torrance Transit System",Torrance,CA,90010,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",74,MB,DO,38.00,0.00,,20706.00,,0.00,,540783.00,,0.00,,0.00,,0.00,,0.00,,0.00,,40405.00,,0.00,,1603575.00,,0.00,,0.00,,0.00,,,,1.95,,,,,,,,,,,
City of Tucson,Tucson,AZ,90033,"City, County or Local Government Unit or Department of Transportation",Full Reporter,88732,"Tucson, AZ","875,441",265,DR,PT,94.00,0.00,,505274.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3347227.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.62,,,,,,,,,,,
City of Tucson,Tucson,AZ,90033,"City, County or Local Government Unit or Department of Transportation",Full Reporter,88732,"Tucson, AZ","875,441",265,MB,PT,165.00,0.00,,0.00,,0.00,,1129105.00,,1205076.00,,0.00,,0.00,,101112.00,,4117174.00,,0.00,,0.00,,3818116.00,,0.00,,0.00,,26899.00,,,,,,,,,,,,,,0.27,
City of Tucson,Tucson,AZ,90033,"City, County or Local Government Unit or Department of Transportation",Full Reporter,88732,"Tucson, AZ","875,441",265,SR,PT,6.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1741890.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,210924.00,,0.00,,,,,,,,,,,,0.12,,,
"City of Turlock, dba: Turlock Transit",Turlock,CA,90201,"City, County or Local Government Unit or Department of Transportation",Full Reporter,89083,"Turlock, CA","79,203",13,DR,PT,4.00,0.00,,8642.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,111564.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,12.91,,,,,,,,,,,
"City of Turlock, dba: Turlock Transit",Turlock,CA,90201,"City, County or Local Government Unit or Department of Transportation",Full Reporter,89083,"Turlock, CA","79,203",13,MB,PT,9.00,0.00,,10666.00,,0.00,,46903.00,,0.00,,0.00,,0.00,,0.00,,0.00,,61582.00,,0.00,,219274.00,,0.00,,0.00,,0.00,,,,5.77,,,,,,,,,,,
"City of Visalia  , dba: Visalia Transit",Visalia,CA,90091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,90946,"Visalia, CA","160,578",38,CB,PT,4.00,0.00,,0.00,,0.00,,38552.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,237190.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"City of Visalia  , dba: Visalia Transit",Visalia,CA,90091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,90946,"Visalia, CA","160,578",38,DR,PT,8.00,0.00,,0.00,,0.00,,30765.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,183404.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"City of Visalia  , dba: Visalia Transit",Visalia,CA,90091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,90946,"Visalia, CA","160,578",38,MB,PT,26.00,0.00,,0.00,,0.00,,472395.00,,0.00,,0.00,,0.00,,464627.00,,0.00,,0.00,,0.00,,1543502.00,,0.00,,0.00,,198079.00,,,,,,,,,,,,,,0.43,
"City of Waco, dba: Waco Transit System, Inc.",Waco,TX,60012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,91027,"Waco, TX","192,844",31,DR,DO,14.00,64174.00,,39947.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,983651.00,,359209.00,,0.00,,0.00,,0.00,,0.00,,0.00,,15.33,,8.99,,,,,,,,,,,
"City of Waco, dba: Waco Transit System, Inc.",Waco,TX,60012,"City, County or Local Government Unit or Department of Transportation",Full Reporter,91027,"Waco, TX","192,844",31,MB,DO,17.00,142342.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,615221.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.32,,,,,,,,,,,,,
